strain,bpTIC,ascr_total,anglas#3,anglas#7,ascr#1,ascr#10,ascr#11,ascr#12,ascr#15,ascr#18,ascr#22,ascr#3,ascr#5,ascr#7,ascr#8,ascr#81,ascr#9,bhas#10,bhas#11,bhas#12,bhas#16,bhas#18,bhas#22,bhas#26,bhos#10,bhos#18,bhos#22,glas#1,glas#3,icas#10,icas#3,icas#9,iglas#2,iglu#1,iglu#2,osas#10,osas#2,osas#9,oscr#1,oscr#10,oscr#11,oscr#12,oscr#14,oscr#18,oscr#19,oscr#21,oscr#3,oscr#7,oscr#9,uglas#11
NIC1,39558433928,93523908,41858,41438,4681810,1586990,2027310,1004580,828729,758589,19021,1.96E+07,3.56E+07,809424,1000,1779920,992552,6670,277305,174722,13194,135522,125720,40702,6670,42430,7239,41717,298514,48318,203762,584477,101884,2.02E+07,5201,166476,200751,67489,5103,39414,8163,190854,6248,337028,5882,4541,29585,57444,352462,1000
NIC166,32769718714,394121196,556804,308076,5.12E+07,7478120,1.34E+07,6449610,333558,4028660,17098,1.14E+08,1.14E+08,6013320,76654,7058290,6411760,256950,680204,466078,14304,762714,1004380,346407,256950,217002,79170,166251,2490810,135109,1503550,2298150,113242,4.43E+07,6704,407881,1455690,168317,296020,156104,20504,1245200,5727,1154930,4640,82171,117898,280700,2385370,149419
NIC199,31097963509,169837518,117373,76616,1.01E+07,2480280,4547470,2259850,536813,1363700,50893,4.15E+07,6.11E+07,2426650,42947,2888280,2604780,15811,422086,239222,16148,210373,236446,94979,15811,62415,24512,40159,851561,42377,483306,787141,9527,3.10E+07,9048,129302,651142,40275,62099,75866,16936,448787,4662,554830,10726,5286,77413,120270,997288,35162
NIC2,11161181461,78233448,7756,6877,3769120,886180,2099280,634622,537699,412117,14535,1.49E+07,3.56E+07,829625,223557,822861,933431,17786,281749,81258,1000,67896,74921,11397,17786,28412,4325,14853,266324,3200,118281,206989,15593,1.41E+07,3585,27000,97967,26197,45649,47032,2705,193070,2651,442618,3553,1000,15840,19445,376606,1000
NIC207,14694405480,51692855,1000,1000,2806850,595866,1540420,511588,252832,267811,10325,8785880,2.05E+07,689836,189723,301703,715233,27377,199501,60751,1000,30604,52858,9798,27377,14503,4217,8495,120221,3754,44467,86488,8567,1.29E+07,1000,16831,53855,7397,18540,30079,2907,116984,1823,301114,4063,3973,7069,22171,281404,1000
NIC231,37941966603,134113367,145092,81451,7797190,2477590,4044440,1400350,346761,1033180,39046,2.69E+07,5.61E+07,1523340,1000,2253680,2123830,95023,154223,186472,5436,180047,213036,37697,95023,106997,37794,41505,619432,19665,131794,372437,54950,2.30E+07,1000,59357,217748,17617,99746,97117,11482,419160,4263,682375,5535,5633,66082,70860,711310,87501
NIC236,16863281472,20833338,1000,1000,1067210,343229,581791,188779,219082,72110,1000,3005790,8763180,327753,1000,180892,422626,1000,29359,7591,1000,7313,8618,1000,1000,3947,8618,4247,50401,1000,24111,45104,8345,5128810,1000,5040,1000,1000,4389,5170,3964,59266,25739,71739,3902,7288,4937,8912,134086,1000
NIC256,45563570950,235749722,347179,288710,2.37E+07,6163520,8377980,4553460,317309,4086930,215132,1.04E+08,5.60E+07,4325260,125309,4532350,6211550,196574,332886,171844,13715,689865,745101,228139,32809,86276,9297,7749,20949,126217,1377130,1735180,186337,2898810,6693,362033,245550,105228,114213,81535,80303,408632,7717,757852,7958,77373,308387,337485,812196,1000
NIC267,32252355917,619283862,657947,367285,5.05E+07,7934270,2.34E+07,9491250,304230,4304670,80658,1.26E+08,2.66E+08,7505690,80347,1.68E+07,8738730,371373,1781550,373201,15625,956081,1092020,474836,371373,611373,235843,221275,1642380,246719,1992250,1.30E+07,43430,5.55E+07,4186,1279080,1437070,900771,526202,399304,70911,2944680,6206,3329150,7499,14913,526521,328326,5291810,278727
NIC3,14814962521,61146711,26933,7103,4229830,692490,1604010,639292,219848,352276,16765,1.15E+07,2.53E+07,685352,337392,354275,780234,5578,145496,63578,1000,38051,54129,23793,5578,28058,12501,4820,134885,1000,94272,146869,7527,1.27E+07,1000,14905,34239,13055,24183,14713,6500,164117,2021,264986,4553,1000,12793,35834,452077,1000
