Strain,feature,rep,value
ECA3131,ascr#5,1,31269060
ECA3131,ascr#9,2,66482.03416
ECA3131,oscr#9,2,56176.78069
ECA3131,ascr#12,2,129472.0245
ECA3131,oscr#12,2,27568.88505
ECA3131,ascr#18,2,172761.8979
ECA3131,oscr#18,2,220692.3295
ECA3131,iglu#1,2,23701650.94
ECA3131,ascr#7,2,164818.6499
ECA3131,iglu#2,2,1925300.36
ECA3131,ascr#1,2,1928934.204
ECA3131,ascr#3,2,5766541.34
ECA3131,ascr#10,2,456914.6442
ECA3131,nacq#1,2,1578431.12
ECA3131,ascr#5,2,33179182
ECA3131,ascr#9,3,118371.4891
ECA3131,oscr#9,3,87507.52621
ECA3131,ascr#12,3,261242.6203
ECA3131,oscr#12,3,52892.64835
ECA3131,ascr#18,3,398740.8665
ECA3131,oscr#18,3,396687.4326
ECA3131,iglu#1,3,31929256.91
ECA3131,ascr#7,3,272090.9187
ECA3131,iglu#2,3,4729035.644
ECA3131,ascr#1,3,3267212.133
ECA3131,ascr#3,3,10528064.05
ECA3131,ascr#10,3,782060.1366
ECA3131,nacq#1,3,3066047.423
ECA3131,ascr#5,3,44642283
ECA3131,ascr#9,4,127300.9616
ECA3131,oscr#9,4,92442.92644
ECA3131,ascr#12,4,260545.6072
ECA3131,oscr#12,4,84766.15237
ECA3131,ascr#18,4,357188.4512
ECA3131,oscr#18,4,436929.5286
ECA3131,iglu#1,4,25003223.38
ECA3131,ascr#7,4,210315.41
ECA3131,iglu#2,4,1853186.098
ECA3131,ascr#1,4,2706988.961
ECA3131,ascr#3,4,7577576.304
ECA3131,ascr#10,4,676173.2163
ECA3131,nacq#1,4,1719237.529
ECA3131,ascr#5,4,37420778
ECA3131,ascr#9,5,159537.5868
ECA3131,oscr#9,5,83554.68329
ECA3131,ascr#12,5,258335.9739
ECA3131,oscr#12,5,31686.58509
ECA3131,ascr#18,5,191388.0642
ECA3131,oscr#18,5,196091.5358
ECA3131,iglu#1,5,17590133.13
ECA3131,ascr#7,5,302159.8465
ECA3131,iglu#2,5,593710.4788
ECA3131,ascr#1,5,2501475.246
ECA3131,ascr#3,5,6232621.771
ECA3131,ascr#10,5,501014.9348
ECA3131,nacq#1,5,610243.3342
ECA3131,ascr#5,5,27574200
ECA2818,ascr#9,1,83821.69304
ECA2818,oscr#9,1,100021.4673
ECA2818,ascr#12,1,225296.7281
ECA2818,oscr#12,1,46637.4202
ECA2818,ascr#18,1,305046.5018
ECA2818,oscr#18,1,364317.3482
ECA2818,iglu#1,1,24268267.95
ECA2818,ascr#7,1,257694.5048
ECA2818,iglu#2,1,1082644.966
ECA2818,ascr#1,1,3601367.554
ECA2818,ascr#3,1,9447646.909
