strain	ascr.s.	ascr.l.	bhas.s.	bhas.l.	modified.C.	modified.4..	oscr.s.	oscr.l.	bhos
DL238	0.4689485842809295	0.015181305362512915	0.004608673026871522	0.0033809148789972023	0.027716282000870045	0.013049881189163295	0.46115930430341484	0.004899209623142312	0.0010558453340983804
ECA36	0.36519739833643833	0.0115103497805619	0.005004013176919386	0.00618444114352838	0.05406089661026272	0.010047212184813938	0.540109928399112	0.005848892528369172	0.002036867839994142
ED3005	0.4191762344396806	0.011280897124088632	0.004371148657096877	0.002819686501326299	0.024766949135451917	0.005379668431928518	0.520862630898939	0.010318529602755583	0.0010242552087324668
ED3011	0.375410428982806	0.01071788549075371	0.005086934753396343	0.0022514863102423826	0.03466435789387075	0.010629012894050556	0.5517039489974043	0.008350282298928986	0.0011856623785470209
ED3012	0.38370431555008444	0.010788300251306171	0.006166748337968765	0.004312901575311449	0.02559334951897409	0.009562798159406985	0.5523473039572433	0.006366445878845552	0.0011578367708593052
ED3017	0.35790550276817734	0.008806221676783655	0.006080574102546171	0.0015305198815312685	0.03256016759760029	0.01237945058008114	0.5759717282468342	0.003847791121542733	9.180440249032542e-4
ED3046	0.3717451188983179	0.013532129838315577	0.003570722731395277	0.0025017672143055826	0.011642657067706966	0.004553670333316834	0.5869158781591135	0.004040672768377809	0.0014973829891506288
ED3048	0.358631069547279	0.009699994059148493	0.004963757202179297	0.003536423134067015	0.019749690848472	0.013684103524257554	0.5773392301371293	0.010048979003848199	0.0023467525436191836
ED3049	0.42096554494035043	0.020079816900894606	0.005237657227704168	0.0021377705184999125	0.01492707126988683	0.006151151036421909	0.5247211235192532	0.0049448897908817855	8.349747961072392e-4
ED3052	0.6266658848978482	0.01956692124431436	0.0049897188705648274	0.0060664107318864485	0.03867524888544074	0.047773121313698236	0.25179790194872514	0.0031411966347801006	0.0013235954727419932
ED3073	0.4373501502960047	0.030758518393088418	0.007223970348458044	0.0012095691092711385	0.017255755998771296	0.0013587126412400545	0.498981530456691	0.004155078540641085	0.0017067142158341921
ED3077	0.31824288109773047	0.016802317530621027	0.003781552873054884	0.0025310662179040765	0.014887811343289507	0.0032419020445075483	0.630042158555533	0.008180492757349262	0.0022898175800101497
EG4347	0.36133295139198646	0.06224784735854535	0.00428929397185678	0.0023172752101088337	0.016891789411647446	0.0022808144555535185	0.543504553933301	0.006014903781712451	0.0011205704852881603
EG4349	0.3440422659137647	0.02186826488488393	0.008169426339729575	0.0015526481829490346	0.019714939328680157	0.0034247096362885893	0.5955198963198897	0.004382184935084872	0.0013256644587294432
EG4725	0.3883050890476342	0.010661378095080592	0.004172696131805923	0.003053122129405624	0.028532938790222125	0.005621323503727403	0.5513624815324544	0.00696741890243412	0.0013235518672355072
GXW1	0.4187967916077208	0.010601727498756168	0.0061580563865532905	0.004217404142505987	0.021140627646569574	0.008188985059608661	0.5234745540105258	0.0056978296732935925	0.0017240239744661012
